"(0, 0)","(1, 0)","(2, 0)","(3, 0)","(4, 0)","(5, 0)","(0, 1)","(1, 1)","(2, 1)","(3, 1)","(4, 1)","(5, 1)","(0, 2)","(1, 2)","(2, 2)","(3, 2)","(4, 2)","(5, 2)","(0, 3)","(1, 3)","(2, 3)","(3, 3)","(4, 3)","(5, 3)","(0, 4)","(1, 4)","(2, 4)","(3, 4)","(4, 4)","(5, 4)","(0, 5)","(1, 5)","(2, 5)","(3, 5)","(4, 5)","(5, 5)"
10.466174574128358,0.0,10.243117884868429,9.962524261835688,9.575751528394393,10.72635515685908,9.880711689141332,8.377035206677705,9.8916819447758,10.859401822405582,0.0,9.131937164879236,9.44251800356051,9.052717236194704,8.681689926733954,10.461237580432352,11.365840582602933,10.95676522226117,9.030934905756043,8.79363594365575,8.545276210794862,9.132851273784445,10.956855719042785,11.853444473732685,8.654863918297542,0.0,0.0,0.0,9.585197618963175,11.337585992521587,8.242337593784324,7.880670881184149,7.525651666536684,8.606059491505249,9.789156278408395,10.907512511237424
11.361512828387074,0.0,11.112907937339504,10.822793768712774,10.427651467442608,11.589519940038258,10.76583510276865,9.25208689323714,10.752460469221518,11.7112270316916,0.0,9.987023351156386,10.317569690128538,9.9180417554342,9.533497345874231,11.304326264018988,12.205593798563259,11.78903660312612,9.896147708673572,9.650205077479376,9.392761003473906,9.96763845663219,11.787117498568223,12.67746366016541,9.511412041092383,0.0,0.0,0.0,10.406752636403025,12.153240743114544,9.089216175567048,8.719032045523566,8.35555241002893,9.41701155181749,10.598144891466372,11.714426751414399
12.247897700103204,0.0,11.973057555272062,11.673529643015508,11.270110467821919,12.442003202888456,11.642109256086313,10.118393267038822,11.603793993349786,12.55362255874738,0.0,10.831497160216621,11.183876063931072,10.774721078740711,10.37603052966624,12.138049875022647,13.035611849798828,12.611591706258494,10.752718768462552,10.49822095408813,10.231701357418673,10.793198567760639,12.607800145605351,13.492269631338937,10.359412848758634,0.0,0.0,0.0,11.218817059891679,12.959711270518055,9.92767155010481,9.549084212696677,9.177274073641497,10.21829904130123,11.397705220304653,12.512192391450487
13.125418723102172,0.0,12.823673716405942,12.514837651368035,12.103233292512225,13.284044949732325,12.509621378486312,10.976038451993333,12.44578602345684,13.386692869521701,0.0,11.665600037910892,12.041521248885667,11.622836510319514,11.209390282726693,12.962515963781215,13.856041244374603,13.424613762800421,11.600727861649966,11.33776115540313,11.062174907453674,11.609640173567566,13.41907373623043,14.297925726318967,11.198940210480982,0.0,0.0,0.0,12.021580703805064,13.757105080702612,10.757759467218287,10.370864172150828,9.990824690924475,11.010205744658927,12.18816568051565,13.300962673041118
13.99416453587115,0.0,13.664862208803132,13.346822390940165,12.927123525542033,14.115869279240165,13.368458635627437,11.825107860685904,13.278539141662634,14.21054130273186,0.0,12.489557276664566,12.890590657578244,12.462471833394785,12.033676792117232,13.777830797376327,14.667026677002184,14.2282459454811,12.440258213490226,12.168907570975254,11.884264114469921,12.417072438741386,14.221069946526706,15.09450692683681,12.030074666759496,0.0,0.0,0.0,12.815177290315411,14.545505440785542,11.579552876371064,11.184436984171747,10.79625738026707,11.793047956410863,12.969693391160844,14.080835259458144
14.854222890512439,0.0,14.496727644746667,14.169587300312891,13.741883599905133,14.937686004193596,14.218707612420873,12.66568681875132,14.102154878666196,15.025270063806216,0.0,13.303579656100915,13.731169615643662,13.293711180172712,12.848989319680983,14.584099474206159,15.468707324734769,15.022626772900775,13.271393748251866,12.991743104979127,12.69805262912441,13.215599918560738,15.013916778884294,15.8820945752097,12.852898632633858,0.0,0.0,0.0,13.599729679255356,15.324997180450135,12.393130713239755,11.98987804775189,11.593642375112378,12.567020661168739,13.742394409462056,14.851897504139608
15.705680661607314,0.0,15.319373474200257,14.983234670614396,14.54761481190782,15.74969209611537,15.060454132679043,13.497860074975282,14.916733675305972,15.830980229298707,0.0,14.107864912031355,14.563342871867624,14.116638269334645,13.65542610745287,15.381425551391153,16.26121738129484,15.807890155222378,14.094218102989027,13.806350493624373,13.503623985871657,14.005325572412634,15.797738760600126,16.66077474979766,13.667494666828816,0.0,0.0,0.0,14.375357057506143,16.095668671397423,13.198573643466597,12.78726617908042,12.383056004103944,13.332246463205362,14.506360218508421,15.614237102288914
16.54862385499124,0.0,16.132901997903254,15.787865657430777,15.344417333442927,16.552072973649643,15.893783199710844,14.321711630257672,15.722374876435461,16.62777175615286,0.0,14.902599047712727,15.387194427150014,14.931336136567136,14.453084309244757,16.169911098236486,17.044686490077943,16.584165706095263,14.908814277367538,14.612811884064051,14.301061133395255,14.78635077930884,16.57265712752328,17.430637205211525,14.473944851707197,0.0,0.0,0.0,15.142175992159892,16.857611288219704,13.995962464984256,13.576680975725456,13.164576421587142,14.088822092773333,15.261680869868984,16.367944019513637
17.383137616441328,0.0,16.937414380217447,16.583580293077002,16.132390224138685,17.34500365171156,16.718778980388414,15.137324681383284,16.519176736448298,17.415743492884502,0.0,15.687957503602679,16.202807478275624,15.737887042773583,15.242059991227048,16.94965674801372,17.81924012309852,17.351579053666637,15.715264512776024,15.411208687875538,15.090446272135036,15.55877538099304,17.338790023528283,18.191774510374277,15.272330574756635,0.0,0.0,0.0,15.900300639391983,17.610918693049985,14.785377515837519,14.358201825736957,13.938281977457924,14.836838023305358,16.00844783287164,17.113110398281734
18.209306240276913,0.0,17.73301066178837,17.37047749894658,16.911631443545154,18.12864976658597,17.535524804814713,15.944781606104787,17.307236428936328,18.194993191425954,0.0,16.464106200849415,17.010264402997127,16.53637244627778,16.022448141952427,17.720761745849398,18.584999916646115,18.110252124394872,16.513650254038232,16.20162153347946,15.871860801510392,16.32269773439155,18.096252686215543,18.944281323143468,16.062732455000095,0.0,0.0,0.0,16.649842841394467,18.355686199839628,15.566898459175949,15.131907541163272,14.704250604137982,15.5763846122488,16.74675421219148,17.849830066709835
